UID          PID    PPID  C STIME TTY          TIME CMD
root         130       2  0 12m23 ?      00:00:01 [ksoftirqd/24]
root         132       2  0 12m23 ?      00:00:00 [kworker/24:0H]
root         133       2  0 12m23 ?      00:00:00 [watchdog/25]
root         134       2  0 12m23 ?      00:00:00 [migration/25]
root         135       2  0 12m23 ?      00:00:00 [ksoftirqd/25]
root         137       2  0 12m23 ?      00:00:00 [kworker/25:0H]
root         138       2  0 12m23 ?      00:00:00 [watchdog/26]
root         139       2  0 12m23 ?      00:00:00 [migration/26]
root         140       2  0 12m23 ?      00:00:00 [ksoftirqd/26]
root         142       2  0 12m23 ?      00:00:00 [kworker/26:0H]
root         143       2  0 12m23 ?      00:00:00 [watchdog/27]
root         144       2  0 12m23 ?      00:00:00 [migration/27]
root         145       2  0 12m23 ?      00:00:00 [ksoftirqd/27]
root         147       2  0 12m23 ?      00:00:00 [kworker/27:0H]
root         148       2  0 12m23 ?      00:00:00 [watchdog/28]
root         149       2  0 12m23 ?      00:00:00 [migration/28]
root         150       2  0 12m23 ?      00:00:00 [ksoftirqd/28]
root         152       2  0 12m23 ?      00:00:00 [kworker/28:0H]
root         153       2  0 12m23 ?      00:00:00 [watchdog/29]
root         154       2  0 12m23 ?      00:00:00 [migration/29]
root         155       2  0 12m23 ?      00:00:00 [ksoftirqd/29]
root         157       2  0 12m23 ?      00:00:00 [kworker/29:0H]
root         158       2  0 12m23 ?      00:00:00 [watchdog/30]
root         159       2  0 12m23 ?      00:00:00 [migration/30]
root         160       2  0 12m23 ?      00:00:00 [ksoftirqd/30]
root         162       2  0 12m23 ?      00:00:00 [kworker/30:0H]
root         163       2  0 12m23 ?      00:00:00 [watchdog/31]
root         164       2  0 12m23 ?      00:00:00 [migration/31]
root         165       2  0 12m23 ?      00:00:00 [ksoftirqd/31]
root         167       2  0 12m23 ?      00:00:00 [kworker/31:0H]
root         168       2  0 12m23 ?      00:00:00 [kdevtmpfs]
root         169       2  0 12m23 ?      00:00:00 [netns]
root         170       2  0 12m23 ?      00:00:00 [perf]
root         171       2  0 12m23 ?      00:00:00 [khungtaskd]
root         172       2  0 12m23 ?      00:00:00 [writeback]
root         173       2  0 12m23 ?      00:00:00 [ksmd]
root         174       2  0 12m23 ?      00:00:00 [khugepaged]
root         175       2  0 12m23 ?      00:00:00 [crypto]
root         176       2  0 12m23 ?      00:00:00 [kintegrityd]
root         177       2  0 12m23 ?      00:00:00 [bioset]
root         178       2  0 12m23 ?      00:00:00 [kblockd]
root         180       2  0 12m23 ?      00:00:00 [ata_sff]
root         181       2  0 12m23 ?      00:00:00 [md]
root         182       2  0 12m23 ?      00:00:00 [devfreq_wq]
root         186       2  0 12m23 ?      00:00:00 [kswapd0]
root         187       2  0 12m23 ?      00:00:00 [kswapd1]
root         188       2  0 12m23 ?      00:00:00 [vmstat]
root         189       2  0 12m23 ?      00:00:00 [fsnotify_mark]
root         190       2  0 12m23 ?      00:00:00 [ecryptfs-kthrea]
root         206       2  0 12m23 ?      00:00:00 [kthrotld]
root         224       2  0 12m23 ?      00:00:00 [kworker/19:1]
root         228       2  0 12m23 ?      00:00:00 [kworker/23:1]
root         231       2  0 12m23 ?      00:00:00 [kworker/26:1]
root         232       2  0 12m23 ?      00:00:00 [kworker/27:1]
root         233       2  0 12m23 ?      00:00:00 [kworker/28:1]
root         234       2  0 12m23 ?      00:00:00 [kworker/29:1]
root         236       2  0 12m23 ?      00:00:00 [kworker/31:1]
root         237       2  0 12m23 ?      00:00:00 [acpi_thermal_pm]
root         239       2  0 12m23 ?      00:00:00 [bioset]
root         240       2  0 12m23 ?      00:00:00 [bioset]
root         241       2  0 12m23 ?      00:00:00 [bioset]
root         242       2  0 12m23 ?      00:00:00 [bioset]
root         243       2  0 12m23 ?      00:00:00 [bioset]
root         244       2  0 12m23 ?      00:00:00 [bioset]
root         245       2  0 12m23 ?      00:00:00 [bioset]
root         246       2  0 12m23 ?      00:00:00 [bioset]
root         252       2  0 12m23 ?      00:00:00 [ipv6_addrconf]
root         265       2  0 12m23 ?      00:00:00 [deferwq]
root         266       2  0 12m23 ?      00:00:00 [kworker/u896:1]
root         267       2  0 12m23 ?      00:00:00 [charger_manager]
root         314       2  0 12m23 ?      00:00:00 [scsi_eh_0]
root         315       2  0 12m23 ?      00:00:00 [scsi_tmf_0]
root         317       2  0 12m23 ?      00:00:00 [scsi_eh_1]
root         318       2  0 12m23 ?      00:00:00 [scsi_tmf_1]
root         319       2  0 12m23 ?      00:00:00 [scsi_eh_2]
root         320       2  0 12m23 ?      00:00:00 [scsi_tmf_2]
root         321       2  0 12m23 ?      00:00:00 [scsi_eh_3]
root         322       2  0 12m23 ?      00:00:00 [scsi_tmf_3]
root         323       2  0 12m23 ?      00:00:00 [scsi_eh_4]
root         324       2  0 12m23 ?      00:00:00 [scsi_tmf_4]
root         325       2  0 12m23 ?      00:00:00 [scsi_eh_5]
root         326       2  0 12m23 ?      00:00:00 [scsi_tmf_5]
root         327       2  0 12m23 ?      00:00:00 [scsi_eh_6]
root         328       2  0 12m23 ?      00:00:00 [scsi_tmf_6]
root         334       2  0 12m23 ?      00:00:00 [scsi_eh_7]
root         335       2  0 12m23 ?      00:00:00 [scsi_tmf_7]
root         336       2  0 12m23 ?      00:00:00 [scsi_eh_8]
root         337       2  0 12m23 ?      00:00:00 [scsi_tmf_8]
root         338       2  0 12m23 ?      00:00:00 [scsi_eh_9]
root         339       2  0 12m23 ?      00:00:00 [scsi_tmf_9]
root         340       2  0 12m23 ?      00:00:00 [scsi_eh_10]
root         341       2  0 12m23 ?      00:00:00 [scsi_tmf_10]
root         342       2  0 12m23 ?      00:00:00 [scsi_eh_11]
root         343       2  0 12m23 ?      00:00:00 [scsi_tmf_11]
root         344       2  0 12m23 ?      00:00:00 [scsi_eh_12]
root         345       2  0 12m23 ?      00:00:00 [scsi_tmf_12]
root         346       2  0 12m23 ?      00:00:00 [scsi_eh_13]
root         347       2  0 12m23 ?      00:00:00 [scsi_tmf_13]
root         348       2  0 12m23 ?      00:00:00 [scsi_eh_14]
root         349       2  0 12m23 ?      00:00:00 [scsi_tmf_14]
root         657       2  0 12m23 ?      00:00:00 [bioset]
root         941       2  0 12m23 ?      00:00:01 [jbd2/sda2-8]
root         942       2  0 12m23 ?      00:00:00 [ext4-rsv-conver]
root         973       2  0 12m23 ?      00:00:00 [kworker/29:2]
root         978       2  0 12m23 ?      00:00:00 [kworker/31:2]
root         991       1  0 12m23 ?      00:00:01 /lib/systemd/systemd-journald
root         996       2  0 12m23 ?      00:00:00 [kauditd]
root        1002       2  0 12m23 ?      00:00:00 [kworker/20:1H]
root        1023       2  0 12m23 ?      00:00:00 [rpciod]
root        1027       1  0 12m23 ?      00:00:00 /sbin/lvmetad -f
root        1032       1  0 12m23 ?      00:00:00 /lib/systemd/systemd-udevd
root        1236       2  0 12m23 ?      00:00:00 [kworker/25:2]
